Hora,Litros_consumidos
6:0:0,1.17152942146991
6:5:0,1.71795016505639
6:10:0,4.43499685589741
6:15:0,6.8274863342732
6:20:0,9.32190766255821
6:25:0,13.8296708378646
6:30:0,15.0556480573164
6:35:0,18.3456990457242
6:40:0,20.7009014616205
6:45:0,21.9072603398069
6:50:0,23.5598629153957
6:55:0,28.2285517479671
7:0:0,30.5982863067235
7:5:0,32.1330695525724
7:10:0,32.2088260717829
7:15:0,33.9168735429889
7:20:0,35.3364076027399
7:25:0,40.1634711136983
7:30:0,43.8109324726788
7:35:0,45.3473557964443
7:40:0,50.1312127503582
7:45:0,54.8820142224194
7:50:0,59.5221483537499
7:55:0,62.3517536308723
8:0:0,66.1236973208013
8:5:0,69.8743653187776
8:10:0,73.7535348066183
8:15:0,78.6047033725617
8:20:0,82.9780533308977
8:25:0,83.7053096781733
8:30:0,84.0607561747284
8:35:0,87.5189080195224
8:40:0,91.0025600901458
8:45:0,91.6272818132134
8:50:0,95.1016407501574
8:55:0,96.6804343713221
9:0:0,97.4178782849599
9:5:0,100.120347835697
9:10:0,102.728193092726
9:15:0,105.506154598651
9:20:0,109.958140295415
9:25:0,113.785612803952
9:30:0,118.01853082601
9:35:0,119.479794296709
9:40:0,121.978667759351
9:45:0,124.891550818282
9:50:0,125.312053205877
9:55:0,128.216954063479
10:0:0,129.58010907241
10:5:0,129.918130351775
10:10:0,131.920687234865
10:15:0,133.952538230354
10:20:0,135.45775248442
10:25:0,138.62141633824
10:30:0,139.993827041368
10:35:0,144.543767773553
10:40:0,148.096435282139
10:45:0,149.441125100038
10:50:0,149.469181014596
10:55:0,150.782890374905
11:0:0,152.627483221453
11:5:0,153.374524819698
11:10:0,153.91101705227
11:15:0,154.117440536553
11:20:0,158.875605617664
11:25:0,163.743832089269
11:30:0,164.689364690065
11:35:0,168.017664167733
11:40:0,171.506738626289
11:45:0,172.353775274812
11:50:0,176.173821738731
11:55:0,177.140835933096
12:0:0,181.482868995769
12:5:0,182.723974999473
12:10:0,185.562256132963
12:15:0,190.243791127157
12:20:0,192.390403126128
12:25:0,193.805466359725
12:30:0,195.741318771462
12:35:0,199.460146994683
12:40:0,201.992126975972
12:45:0,206.131856657751
12:50:0,210.196990620759
12:55:0,214.057310408871
13:0:0,215.487765064271
13:5:0,218.974858032936
13:10:0,222.912808367022
13:15:0,226.331973758704
13:20:0,226.390993039036
13:25:0,228.043118451509
13:30:0,230.087254788339
13:35:0,232.284863877304
13:40:0,233.207141611431
13:45:0,235.342520603821
13:50:0,239.983501997202
13:55:0,242.976021999694
14:0:0,243.04633795867
14:5:0,246.444102530785
14:10:0,248.279688295605
14:15:0,249.960597249741
14:20:0,250.284755059547
14:25:0,250.816239462749
14:30:0,252.945903702257
14:35:0,255.88118301431
14:40:0,260.390369169595
14:45:0,261.145442101025
14:50:0,263.969641721921
14:55:0,265.357886394458
15:0:0,268.494487257006
15:5:0,272.549444748406
15:10:0,273.417539522258
15:15:0,274.760375394692
15:20:0,278.537478140531
15:25:0,281.504853411866
15:30:0,284.253965366546
15:35:0,288.060612346923
15:40:0,289.637881298209
15:45:0,291.337657984204
15:50:0,294.9636346319
15:55:0,296.053560521017
16:0:0,299.011446163137
16:5:0,303.870745536382
16:10:0,305.631638423745
16:15:0,307.458056645883
16:20:0,311.581799679174
16:25:0,315.12979726714
16:30:0,287.524882043981
16:35:0,320.713444487596
16:40:0,324.908029562102
16:45:0,326.136954468391
16:50:0,329.833491232005
16:55:0,330.826932682236
17:0:0,332.689838129187
17:5:0,333.858328342484
17:10:0,335.863900472261
17:15:0,338.506792753029
17:20:0,343.185076378325
17:25:0,345.018358411717
17:30:0,345.62961687229
17:35:0,350.343143972898
17:40:0,354.1148653773
17:45:0,355.512376303185
17:50:0,357.344669127803
17:55:0,361.369639052215
18:0:0,365.694556671814
18:5:0,367.599790816185
18:10:0,368.359802048295
18:15:0,371.570768134436
18:20:0,376.140359442421
18:25:0,379.126608513652
18:30:0,382.866566538542
18:35:0,386.963650785031
18:40:0,389.404433344928
18:45:0,389.550591794135
18:50:0,390.254300441692
18:55:0,390.412596907045
19:0:0,390.757092114319
19:5:0,392.706638271298
19:10:0,397.63345088232
19:15:0,399.686762272374
19:20:0,401.484554132502
19:25:0,406.086825959998
19:30:0,409.301533505679
19:35:0,409.853589189139
19:40:0,413.503185407533
19:45:0,418.435325541703
19:50:0,420.447780949708
19:55:0,421.555195339903
20:0:0,421.594501977109
20:5:0,422.405756038699
20:10:0,426.095385570008
20:15:0,428.087615838628
20:20:0,429.240528973022
20:25:0,433.380698561769
20:30:0,437.61166327807
20:35:0,439.062084178012
20:40:0,443.468246224307
20:45:0,444.206923865969
20:50:0,448.491033635035
20:55:0,449.329515460617
21:0:0,453.435918184794
21:5:0,456.144272542078
21:10:0,460.873213197591
21:15:0,462.098187330517
21:20:0,464.332697158528
21:25:0,465.916902844336
21:30:0,467.90149009234
21:35:0,472.586269103228
21:40:0,475.168076000565
21:45:0,479.902852074268
21:50:0,483.819836173918
21:55:0,485.400914998148
22:0:0,490.027190998253
22:5:0,493.103831499113
22:10:0,494.638546528585
22:15:0,494.740576523626
22:20:0,494.89022177219
22:25:0,498.882859774571
22:30:0,503.161396552558
22:35:0,506.834116274164
22:40:0,507.571019954112
22:45:0,512.253176223988
22:50:0,514.437343387216
22:55:0,515.879776799748
23:0:0,517.593386638854
23:5:0,522.013203297773
23:10:0,525.415478465505
23:15:0,529.318707943292
23:20:0,530.407401013869
23:25:0,532.961818319971
23:30:0,533.597302469611
23:35:0,534.286866253952
23:40:0,536.614924760967
23:45:0,539.688244100841
23:50:0,542.345682179576
23:55:0,542.775284295813
0:0:0,546.819220361879
0:5:0,551.432428597477
0:10:0,553.133022510852
0:15:0,554.878611266934
0:20:0,558.349089977409
0:25:0,562.025767595281
0:30:0,564.395863548994
0:35:0,565.261280960791
0:40:0,567.899238293882
0:45:0,571.707533901095
0:50:0,574.114058178859
0:55:0,575.220538986764
1:0:0,579.648280573711
1:5:0,583.6006054383
1:10:0,587.063599584095
1:15:0,589.360181303013
1:20:0,593.678522932859
1:25:0,594.329878825265
1:30:0,595.794230962024
1:35:0,600.613250959877
1:40:0,603.902499435295
1:45:0,608.380475653715
1:50:0,608.453524948171
1:55:0,608.730527573843
2:0:0,611.986520133237
2:5:0,613.765081884606
2:10:0,614.3548022022
2:15:0,617.149017280645
2:20:0,621.236160880998
2:25:0,624.759276625712
2:30:0,628.586444498615
2:35:0,633.430421289147
2:40:0,635.905294167641
2:45:0,636.168759973975
2:50:0,640.664492091724
2:55:0,644.021908120082
3:0:0,644.744297632535
3:5:0,645.496125431565
3:10:0,646.549166326631
3:15:0,647.882697454983
3:20:0,650.626932846616
3:25:0,653.914907684148
3:30:0,656.903435087283
3:35:0,659.615198046995
3:40:0,659.992541851981
3:45:0,662.29518216085
3:50:0,665.535663426358
3:55:0,665.89940357638
4:0:0,669.572299273036
4:5:0,673.540770623451
4:10:0,678.188095391496
4:15:0,678.852607845657
4:20:0,681.482475721533
4:25:0,685.485806567018
4:30:0,689.370895094288
4:35:0,691.220731291739
4:40:0,691.42632356655
4:45:0,692.352031389358
4:50:0,696.967601262156
4:55:0,700.330681201156
5:0:0,704.141088578518
5:5:0,705.806574001112
5:10:0,710.533266457178
5:15:0,710.954595638463
5:20:0,711.586492533135
5:25:0,714.011763480938
5:30:0,739.123779544642
5:35:0,714.908874023626
5:40:0,715.490607805536
5:45:0,715.561440442747
5:50:0,718.690410321087
5:55:0,721.770433801695
