Hora,Litros_consumidos
6:0:0,2.12250030794871
6:5:0,6.92845396928356
6:10:0,11.4557499335628
6:15:0,15.0611222818702
6:20:0,15.5902292802922
6:25:0,18.4522368204019
6:30:0,18.7492110133695
6:35:0,21.2293653992062
6:40:0,21.506019656832
6:45:0,22.7733472197991
6:50:0,26.8135421018387
6:55:0,28.2021406904348
7:0:0,0.972706535787662
7:5:0,31.4349234891565
7:10:0,32.6454524500108
7:15:0,33.9377116183884
7:20:0,34.0932045357761
7:25:0,36.2374894043793
7:30:0,39.707304829109
7:35:0,40.6335043246835
7:40:0,43.0577092482541
7:45:0,47.0586330678315
7:50:0,50.0569605797383
7:55:0,51.9961076233207
8:0:0,55.0980779673647
8:5:0,59.4340071610656
8:10:0,63.5175228880778
8:15:0,67.4560844685814
8:20:0,68.2676489698761
8:25:0,70.5654907094028
8:30:0,75.46601628749
8:35:0,79.924090842869
8:40:0,83.3334688921702
8:45:0,85.9534860776534
8:50:0,86.484778317054
8:55:0,90.2781743612196
9:0:0,61.2699688470888
9:5:0,94.4362203491316
9:10:0,97.0680898865842
9:15:0,97.7063811876065
9:20:0,101.273002451988
9:25:0,101.722177164664
9:30:0,102.824054436947
9:35:0,103.88938838914
9:40:0,108.725117165207
9:45:0,110.32506241017
9:50:0,114.312265651597
9:55:0,115.740735113854
10:0:0,118.236733002293
10:5:0,118.49522286658
10:10:0,122.950021781785
10:15:0,124.522660741888
10:20:0,125.678108415981
10:25:0,128.16649012064
10:30:0,130.519528443497
10:35:0,133.447724617622
10:40:0,136.388216328793
10:45:0,136.940677250444
10:50:0,137.287961905293
10:55:0,138.496044637797
11:0:0,164.670999419757
11:5:0,142.438441271476
11:10:0,144.484653748093
11:15:0,144.964601780609
11:20:0,145.475741293907
11:25:0,148.101141003292
11:30:0,149.12504881024
11:35:0,153.520249003805
11:40:0,158.006013318484
11:45:0,159.940123107496
11:50:0,164.272055263998
11:55:0,168.138476886121
12:0:0,173.030069836119
12:5:0,176.027576294919
12:10:0,180.603385571736
12:15:0,181.665898320812
12:20:0,186.086375624831
12:25:0,189.63539500965
12:30:0,193.134789623451
12:35:0,193.313842444233
