Hora,Litros_consumidos
6:0:0,4.61446926686736
6:5:0,9.38279655899187
6:10:0,13.6718149013446
6:15:0,17.4717194895673
6:20:0,21.99404123382
6:25:0,23.1583414018399
6:30:0,26.8798218512299
6:35:0,27.4094847496635
6:40:0,30.0558826517462
6:45:0,30.4060733564098
6:50:0,31.3076942963153
6:55:0,35.6641437435095
7:0:0,40.3193104838558
7:5:0,43.7083300963581
7:10:0,47.7749296298785
7:15:0,50.8110247205503
7:20:0,53.8790430874303
7:25:0,58.1807636499327
7:30:0,61.6991000554756
7:35:0,63.2225047222994
7:40:0,68.0977623911969
7:45:0,68.7862677868278
7:50:0,69.9426054616134
7:55:0,73.7905937869501
8:0:0,74.3429950727871
8:5:0,77.4615780489089
8:10:0,77.6061583412267
8:15:0,77.8632302932818
8:20:0,79.1460772972813
8:25:0,80.3498217614033
8:30:0,51.3407991121105
8:35:0,85.2942425000266
8:40:0,89.549488899143
8:45:0,93.2150689656139
8:50:0,95.280051384118
8:55:0,97.3798336595402
9:0:0,100.568292888358
9:5:0,101.440358724208
9:10:0,101.735230290916
9:15:0,106.379594760402
9:20:0,108.039255669986
9:25:0,109.517881606846
9:30:0,112.081899881818
9:35:0,116.555574295244
9:40:0,118.169386188424
9:45:0,144.432036068679
9:50:0,122.195591312595
9:55:0,122.214514380681
10:0:0,125.936492848849
10:5:0,127.137574685117
10:10:0,132.097984804292
10:15:0,136.393157384461
10:20:0,139.736826388895
10:25:0,141.667106853148
10:30:0,169.543977653466
10:35:0,144.752240524299
10:40:0,148.795793768219
10:45:0,150.124367400368
10:50:0,150.527573769528
10:55:0,153.343883087092
11:0:0,153.57393819265
11:5:0,158.065939326824
11:10:0,162.214194877375
11:15:0,162.964432155163
11:20:0,166.199336413692
11:25:0,168.614226273605
11:30:0,169.0982567078
11:35:0,173.254583784339
11:40:0,176.291601380149
11:45:0,180.582096165625
11:50:0,185.521241137148
11:55:0,188.990709559735
12:0:0,192.890678081819
12:5:0,197.336572778576
12:10:0,198.750271375714
12:15:0,200.953542697676
12:20:0,201.325950155768
12:25:0,202.065671117977
12:30:0,205.636508804516
12:35:0,208.571065824752
12:40:0,211.872902503632
12:45:0,213.434926083651
12:50:0,214.131540974708
12:55:0,217.284202715314
13:0:0,218.535150576922
13:5:0,222.100615849895
13:10:0,225.902599800204
13:15:0,226.537351420034
13:20:0,229.463980984524
13:25:0,232.843136581539
13:30:0,261.76503920283
13:35:0,240.944356730559
13:40:0,245.751162088487
13:45:0,250.484608918781
13:50:0,253.76184446759
13:55:0,257.715632218939
14:0:0,259.20578274977
14:5:0,259.644192067597
14:10:0,260.500391103184
14:15:0,261.290104379802
14:20:0,265.775197105964
14:25:0,267.262455137732
14:30:0,294.272130756235
14:35:0,273.980745744775
14:40:0,278.642087241277
14:45:0,280.089678561021
14:50:0,284.177979897225
14:55:0,285.055310861146
15:0:0,257.270486058804
15:5:0,291.182572777353
15:10:0,292.320589069778
15:15:0,293.905415252799
15:20:0,295.836302952033
15:25:0,297.763778809844
15:30:0,323.403442547942
15:35:0,302.717189365363
15:40:0,304.783527666921
15:45:0,305.846693093387
